city_id,city,latitude,longitude,avg_score,avg_temp,max_temp,min_temp,avg_humidity,total_rain,avg_pop,avg_wind,rank
19,Bormes les Mimosas,43.15,6.34,74.61,14.42,17.55,3.54,45.38,0.0,0.0,7.86,1
22,Aix en Provence,43.53,5.45,74.27,14.82,20.56,3.3,40.0,0.0,0.0,7.3,2
21,Marseille,43.3,5.37,74.09,14.36,20.37,5.87,47.62,0.0,0.0,10.56,3
26,Aigues Mortes,43.57,4.19,73.79,14.92,18.11,6.68,45.75,0.0,0.0,10.93,4
28,Collioure,42.53,3.08,73.31,15.5,19.6,6.44,47.62,0.0,0.0,12.6,5
25,Nimes,43.84,4.36,72.32,14.47,19.36,5.15,44.25,0.0,0.0,10.9,6
20,Cassis,43.21,5.54,69.42,13.76,20.28,5.03,48.0,0.0,0.0,9.76,7
18,Gorges du Verdon,43.75,6.33,68.74,11.9,20.17,-2.46,34.5,0.0,0.0,5.67,8
24,Uzes,44.01,4.42,67.88,13.61,18.58,4.27,49.88,0.0,0.0,11.83,9
23,Avignon,43.95,4.81,67.62,13.28,19.43,3.58,53.12,0.0,0.0,13.27,10
27,Saintes Maries de la mer,43.45,4.43,67.55,13.72,17.04,7.12,51.5,0.0,0.0,14.45,11
31,Toulouse,43.6,1.44,65.55,12.88,19.75,1.83,53.38,2.49,0.23,5.86,12
29,Carcassonne,43.21,2.35,64.32,12.74,20.98,3.47,55.88,1.5,0.16,9.03,13
32,Montauban,44.02,1.35,61.74,12.49,17.72,1.08,58.38,2.92,0.22,6.3,14
35,La Rochelle,46.16,-1.15,56.0,10.76,15.07,3.64,67.12,2.75,0.18,7.67,15
6,Paris,48.85,2.35,55.45,10.93,17.27,4.35,57.75,3.93,0.28,5.38,16
34,Bayonne,43.49,-1.47,52.69,12.05,17.94,3.14,63.5,14.03,0.5,5.1,17
17,Lyon,45.76,4.83,51.68,10.37,17.23,0.66,56.12,7.1,0.38,6.42,18
7,Amiens,49.89,2.3,51.65,10.15,16.07,1.13,69.88,4.87,0.22,7.47,19
5,Rouen,49.44,1.09,50.81,11.01,16.17,1.57,65.75,5.57,0.37,6.83,20
33,Biarritz,43.47,-1.55,49.22,11.72,15.47,4.06,65.0,15.64,0.5,5.72,21
15,Annecy,45.9,6.13,47.36,9.18,17.44,-3.06,68.88,9.6,0.45,4.15,22
3,Bayeux,49.28,-0.7,46.66,10.4,14.26,2.99,68.12,6.75,0.42,8.1,23
16,Grenoble,45.19,5.74,46.65,9.54,19.83,-2.72,79.12,9.5,0.46,3.58,24
1,Mont Saint Michel,48.64,-1.51,46.2,10.92,15.79,4.02,66.75,7.09,0.41,7.46,25
8,Lille,50.64,3.06,45.94,9.96,15.35,2.04,66.88,10.73,0.45,7.09,26
2,St Malo,48.65,-2.03,45.59,10.49,14.3,6.62,68.12,6.19,0.38,9.55,27
30,Ariege,42.95,1.41,44.0,6.98,17.57,-4.62,68.0,30.92,0.56,3.16,28
11,Colmar,48.08,7.36,43.32,8.62,17.03,-0.76,64.12,15.81,0.57,3.74,29
12,Eguisheim,48.04,7.31,42.49,8.29,16.72,-1.09,64.5,16.21,0.58,3.66,30
14,Dijon,47.32,5.04,41.79,8.74,16.06,-1.14,68.25,10.6,0.52,5.63,31
4,Le Havre,49.49,0.11,40.74,9.44,12.52,6.51,72.0,11.49,0.45,10.02,32
9,Strasbourg,48.58,7.75,37.41,8.35,17.0,-0.06,62.38,19.47,0.69,4.9,33
13,Besancon,47.24,6.02,37.39,7.38,15.86,-2.34,77.0,18.17,0.54,3.82,34
10,Chateau du Haut Koenigsbourg,48.25,7.34,37.22,5.74,14.43,-3.84,67.12,17.8,0.6,3.6,35
